,Training episodes,Reward
949,19000,-6669.375826825659
950,19020,-6669.846755210527
951,19040,-6669.879279168422
952,19060,-6670.128423334737
953,19080,-6671.608207417789
954,19100,-6673.305628434231
955,19120,-6674.8641902473855
956,19140,-6675.666977197909
957,19160,-6675.907956758327
958,19180,-6675.4544904066615
959,19200,-6674.495936075329
960,19220,-6675.313623860264
961,19240,-6675.523086588211
962,19260,-6676.530969270569
963,19280,-6676.864150416455
964,19300,-6677.522882833164
965,19320,-6678.051118766531
966,19340,-6679.140426263224
967,19360,-6679.54749726058
968,19380,-6680.397685308464
969,19400,-6680.387835746771
970,19420,-6679.909174847417
971,19440,-6679.9109336279325
972,19460,-6679.710621902346
973,19480,-6679.7042787718765
974,19500,-6679.844048017501
975,19520,-6679.476488414001
976,19540,-6678.845096981202
977,19560,-6679.340140084962
978,19580,-6678.89695581797
979,19600,-6679.211002154376
980,19620,-6681.7375517235005
981,19640,-6685.0041038788
982,19660,-6687.05672060304
983,19680,-6686.970376482433
984,19700,-6687.897394935946
985,19720,-6689.719634698757
986,19740,-6690.233520259006
987,19760,-6690.496816207205
988,19780,-6691.428546715764
989,19800,-6692.026274872612
990,19820,-6692.987738648089
991,19840,-6692.504565918471
992,19860,-6692.035683984776
993,19880,-6692.826672187822
994,19900,-6692.581650250258
995,19920,-6690.882976450206
