,Training episodes,Reward
439,88000,-12302.145356518044
440,88200,-12319.037378964435
441,88400,-12332.860371921548
442,88600,-12344.930172537239
443,88800,-12356.735856779791
444,89000,-12366.180404173832
445,89200,-12373.736042089065
446,89400,-12380.381333671254
447,89600,-12386.206160687003
448,89800,-12390.866022299602
449,90000,-12394.593911589682
450,90200,-12397.576223021744
451,90400,-12399.962072167395
452,90600,-12402.545282733916
453,90800,-12404.611851187134
454,91000,-12406.265105949708
455,91200,-12407.587709759766
456,91400,-12408.645792807813
457,91600,-12409.49225924625
458,91800,-12410.169432397
459,92000,-12410.7111709176
460,92200,-12411.144561734081
461,92400,-12411.491274387265
462,92600,-12411.768644509812
463,92800,-12411.990540607849
464,93000,-12412.168057486278
465,93200,-12412.310070989022
466,93400,-12412.423681791219
467,93600,-12412.514570432975
468,93800,-12412.587281346381
469,94000,-12412.645450077105
470,94200,-12412.691985061685
471,94400,-12412.729213049348
472,94600,-12412.758995439479
473,94800,-12412.782821351584
474,95000,-12412.801882081267
475,95200,-12412.817130665013
476,95400,-12412.82932953201
477,95600,-12412.83908862561
478,95800,-12412.846895900488
479,96000,-12412.85314172039
480,96200,-12412.858138376312
481,96400,-12412.86213570105
482,96600,-12412.865333560841
483,96800,-12412.867891848673
484,97000,-12412.869938478938
485,97200,-12412.87157578315
486,97400,-12412.87288562652
487,97600,-12412.873933501216
488,97800,-12412.874771800973
489,98000,-12412.875442440778
490,98200,-12412.875978952623
491,98400,-12412.8764081621
492,98600,-12412.87675152968
493,98800,-12412.877026223745
494,99000,-12412.877245978996
495,99200,-12412.877421783198
496,99400,-12412.877562426558
497,99600,-12412.877674941246
498,99800,-12412.877764952997
499,100000,-12412.877836962398
500,100200,-12412.877894569918
501,100400,-12412.877940655935
502,100600,-12412.877977524748
503,100800,-12412.878007019799
504,101000,-12412.878030615839
505,101200,-12412.87804949267
506,101400,-12412.878064594137
507,101600,-12412.87807667531
508,101800,-12412.878086340248
509,102000,-12412.878094072199
510,102200,-12412.87810025776
511,102400,-12412.878105206208
512,102600,-12412.878109164967
513,102800,-12412.878112331973
514,103000,-12412.878114865578
515,103200,-12412.878116892463
516,103400,-12412.87811851397
517,103600,-12412.878119811177
518,103800,-12412.878120848942
519,104000,-12412.878121679154
520,104200,-12412.878122343323
521,104400,-12412.87812287466
522,104600,-12412.878123299728
523,104800,-12412.878123639783
524,105000,-12412.878123911827
525,105200,-12412.878124129462
526,105400,-12412.87812430357
527,105600,-12412.878124442856
528,105800,-12412.878124554285
529,106000,-12412.878124643428
530,106200,-12412.878124714744
531,106400,-12412.878124771794
532,106600,-12412.878124817436
533,106800,-12412.878124853949
534,107000,-12412.87812488316
535,107200,-12412.878124906529
536,107400,-12412.878124925222
537,107600,-12412.878124940178
538,107800,-12412.878124952143
539,108000,-12412.878124961715
540,108200,-12412.878124969373
541,108400,-12412.8781249755
542,108600,-12412.8781249804
543,108800,-12412.87812498432
544,109000,-12412.878124987456
545,109200,-12412.878124989964
546,109400,-12412.878124991972
547,109600,-12412.878124993578
548,109800,-12412.878124994862
549,110000,-12412.87812499589
550,110200,-12412.878124996712
551,110400,-12412.87812499737
552,110600,-12412.878124997897
553,110800,-12412.878124998317
554,111000,-12412.878124998653
555,111200,-12412.878124998922
556,111400,-12412.878124999139
557,111600,-12412.878124999312
558,111800,-12412.87812499945
559,112000,-12412.87812499956
560,112200,-12412.878124999648
561,112400,-12412.87812499972
562,112600,-12412.878124999776
563,112800,-12412.878124999821
564,113000,-12412.878124999857
565,113200,-12412.878124999886
566,113400,-12412.87812499991
567,113600,-12412.878124999928
568,113800,-12412.878124999943
569,114000,-12412.878124999954
570,114200,-12412.878124999963
571,114400,-12412.87812499997
572,114600,-12412.878124999976
573,114800,-12412.878124999981
574,115000,-12412.878124999985
